"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경상북도교육청","경상북도안동교육지원청","경상북도 안동시","S000003596","대구교육대학교안동부설초등학교","02","국립","N","","3","60","20","3","60","20","3","60","20","3","60","20","3","70","23.3","3","69","23","0","0","0","0","0","0","18","379","21.1","21","18"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001030","경산동부초등학교","02","공립","N","","3","63","21","3","70","23.3","3","61","20.3","3","77","25.7","2","51","25.5","3","83","27.7","2","12","6","0","0","0","19","417","21.9","23","18.1"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001031","경산서부초등학교","02","공립","N","","4","94","23.5","4","99","24.8","4","89","22.3","3","74","24.7","4","97","24.3","4","96","24","1","6","6","0","0","0","24","555","23.1","28","19.8"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001033","경산중앙초등학교","02","공립","N","","2","37","18.5","2","37","18.5","2","33","16.5","2","44","22","2","45","22.5","2","46","23","2","12","6","0","0","0","14","254","18.1","18","14.1"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001034","경산초등학교","02","공립","N","","2","37","18.5","2","35","17.5","2","38","19","2","34","17","2","47","23.5","2","55","27.5","1","4","4","0","0","0","13","250","19.2","17","14.7"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001035","계당초등학교","02","공립","N","","1","8","8","1","9","9","1","9","9","1","13","13","1","7","7","1","3","3","1","3","3","0","0","0","7","52","7.4","9","5.8"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001038","금락초등학교","02","공립","N","","2","25","12.5","2","43","21.5","3","60","20","3","76","25.3","3","62","20.7","4","86","21.5","0","0","0","0","0","0","17","352","20.7","24","14.7"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001039","남산초등학교","02","공립","N","","1","10","10","1","12","12","1","16","16","1","19","19","1","16","16","1","18","18","0","0","0","0","0","0","6","91","15.2","7","13"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001041","남성초등학교","02","공립","N","","1","7","7","1","8","8","1","15","15","1","8","8","1","9","9","1","9","9","0","0","0","0","0","0","6","56","9.3","9","6.2"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001042","남천초등학교","02","공립","N","","1","8","8","1","17","17","1","12","12","1","20","20","1","9","9","1","22","22","1","5","5","0","0","0","7","93","13.3","10","9.3"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001043","다문초등학교","02","공립","N","","1","7","7","1","6","6","1","12","12","1","2","2","1","8","8","1","7","7","1","1","1","0","0","0","7","43","6.1","8","5.4"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001044","대동초등학교","02","공립","N","","1","9","9","1","9","9","1","5","5","1","8","8","1","8","8","1","7","7","1","1","1","0","0","0","7","47","6.7","9","5.2"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001045","부림초등학교","02","공립","N","","1","20","20","1","26","26","2","31","15.5","1","23","23","1","25","25","2","39","19.5","1","4","4","0","0","0","9","168","18.7","12","14"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001050","경산압량초등학교","02","공립","N","","9","198","22","11","258","23.5","9","201","22.3","8","193","24.1","9","218","24.2","9","210","23.3","2","9","4.5","0","0","0","57","1287","22.6","72","17.9"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001051","와촌초등학교","02","공립","N","","1","13","13","1","18","18","1","6","6","1","5","5","1","10","10","1","4","4","1","2","2","0","0","0","7","58","8.3","9","6.4"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001053","용성초등학교","02","공립","N","","1","6","6","1","6","6","1","13","13","1","9","9","1","9","9","1","15","15","1","2","2","0","0","0","7","60","8.6","8","7.5"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001056","임당초등학교","02","공립","N","","1","14","14","1","25","25","1","18","18","1","13","13","1","17","17","1","21","21","1","6","6","0","0","0","7","114","16.3","8","14.3"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001057","자인초등학교","02","공립","N","","1","6","6","1","8","8","1","11","11","1","10","10","1","11","11","1","14","14","1","2","2","0","0","0","7","62","8.9","8","7.8"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001058","장산초등학교","02","공립","N","","2","46","23","3","58","19.3","3","77","25.7","3","76","25.3","3","80","26.7","3","75","25","2","11","5.5","0","0","0","19","423","22.3","24","17.6"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001059","정평초등학교","02","공립","N","","6","138","23","7","172","24.6","7","176","25.1","6","164","27.3","5","132","26.4","6","166","27.7","3","17","5.7","0","0","0","40","965","24.1","50","19.3"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001060","진량초등학교","02","공립","N","","3","72","24","4","76","19","4","81","20.3","4","81","20.3","3","58","19.3","4","97","24.3","0","0","0","0","0","0","22","465","21.1","28","16.6"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001061","진성초등학교","02","공립","N","","1","6","6","1","7","7","1","12","12","1","16","16","1","8","8","1","24","24","1","4","4","0","0","0","7","77","11","8","9.6"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001062","청천초등학교","02","공립","N","","1","7","7","1","8","8","1","6","6","1","5","5","0","0","0","1","8","8","0","0","0","0","0","0","5","34","6.8","7","4.9"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001063","하양초등학교","02","공립","N","","3","64","21.3","4","78","19.5","4","92","23","4","96","24","5","112","22.4","6","128","21.3","2","11","5.5","0","0","0","28","581","20.8","33","17.6"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001064","하주초등학교","02","공립","N","","5","120","24","4","98","24.5","5","113","22.6","4","96","24","4","87","21.8","3","81","27","1","5","5","0","0","0","26","600","23.1","31","19.4"
"경상북도교육청","경상북도경산교육지원청","경상북도 경산시","S150001065","현흥초등학교","02","공립","N","","1","16","16","1","19","19","1","12","12","1","14","14","1","18","18","2","26","13","1","2","2","0","0","0","8","107","13.4","11","9.7"
"경상북도교육청","경상북도경주교육지원청","경상북도 경주시","S150001144","감포초등학교","02","공립","N","","1","11","11","1","6","6","1","14","14","1","18","18","1","17","17","1","11","11","1","1","1","0","0","0","7","78","11.1","8","9.8"
"경상북도교육청","경상북도경주교육지원청","경상북도 경주시","S150001146","강동초등학교","02","공립","N","","1","7","7","1","9","9","1","15","15","1","9","9","1","25","25","1","14","14","0","0","0","0","0","0","6","79","13.2","7","11.3"
"경상북도교육청","경상북도경주교육지원청","경상북도 경주시","S150001149","건천초등학교","02","공립","N","","1","16","16","1","13","13","1","18","18","1","16","16","1","22","22","1","23","23","0","0","0","0","0","0","6","108","18","7","15.4"
"경상북도교육청","경상북도경주교육지원청","경상북도 경주시","S150001150","경주초등학교","02","공립","N","","5","115","23","5","119","23.8","5","122","24.4","5","133","26.6","5","131","26.2","7","170","24.3","2","12","6","0","0","0","34","802","23.6","42","19.1"
"경상북도교육청","경상북도경주교육지원청","경상북도 경주시","S150001153","계림초등학교","02","공립","N","","1","20","20","1","23","23","2","28","14","1","20","20","1","21","21","1","24","24","1","6","6","0","0","0","8","142","17.8","10","14.2"
"경상북도교육청","경상북도경주교육지원청","경상북도 경주시","S150001155","괘릉초등학교","02","공립","N","","1","9","9","1","6","6","1","16","16","1","7","7","1","4","4","1","11","11","0","0","0","0","0","0","6","53","8.8","6","8.8"
"경상북도교육청","경상북도경주교육지원청","경상북도 경주시","S150001157","나산초등학교","02","공립","N","","1","16","16","1","15","15","2","26","13","1","16","16","1","16","16","1","13","13","1","3","3","0","0","0","8","105","13.1","9","11.7"
"경상북도교육청","경상북도경주교육지원청","경상북도 경주시","S150001158","나원초등학교","02","공립","N","","1","17","17","1","18","18","1","24","24","1","24","24","1","22","22","2","35","17.5","1","5","5","0","0","0","8","145","18.1","10","14.5"
"경상북도교육청","경상북도경주교육지원청","경상북도 경주시","S150001159","내남초등학교","02","공립","N","","1","5","5","1","6","6","1","9","9","1","17","17","1","12","12","1","13","13","0","0","0","0","0","0","6","62","10.3","8","7.8"
"경상북도교육청","경상북도경주교육지원청","경상북도 경주시","S150001168","동방초등학교","02","공립","N","","1","23","23","2","30","15","2","39","19.5","2","39","19.5","2","32","16","2","45","22.5","0","0","0","0","0","0","11","208","18.9","15","13.9"
"경상북도교육청","경상북도경주교육지원청","경상북도 경주시","S150001170","동천초등학교","02","공립","N","","2","52","26","2","58","29","3","75","25","3","58","19.3","4","94","23.5","3","80","26.7","2","12","6","0","0","0","19","429","22.6","23","18.7"
