설(상)치 장소,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
경북 구미시 산동면 신당리 1169 ,경북 구미시 산동면 신당리 1169 ,128.4469209,36.1561652,인근좌표,47190,구주소,,경상북도 구미시 산동읍 신당리 1169,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경북 구미시 산동면 신당리 1369(나대지),경북 구미시 산동면 신당리 1369(나대지),128.4436696,36.1511391,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1369,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경북 구미시 산동면 신당리 1372 ,경북 구미시 산동면 신당리 1372 ,128.4380035,36.1534132,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1372,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경북 구미시 산동면 신당리 1694,경북 구미시 산동면 신당리 1694,128.4345422,36.1625828,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1694,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경북 구미시 산동면 신당리 1694(나대지) ,경북 구미시 산동면 신당리 1694(나대지) ,128.4345422,36.1625828,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1694,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경북 구미시 산동면 신당리 1696 ,경북 구미시 산동면 신당리 1696 ,128.4348462,36.159265,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1696,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경북 구미시 산동면 신당리 1697,경북 구미시 산동면 신당리 1697,128.4350505,36.1560016,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1697,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경북 구미시 산동면 신당리 1697 ,경북 구미시 산동면 신당리 1697 ,128.4350505,36.1560016,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1697,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경북 구미시 산동면 신당리 1697(나대지),경북 구미시 산동면 신당리 1697(나대지),128.4350505,36.1560016,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1697,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경북 구미시 산동면 신당리 289-3,경북 구미시 산동면 신당리 289-3,128.4346692,36.1654484,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 289-3,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경북 구미시 산동면 신당리 289-3 ,경북 구미시 산동면 신당리 289-3 ,128.4346692,36.1654484,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 289-3,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경북 구미시 산동면 신당리 338 ,경북 구미시 산동면 신당리 338 ,128.4324873,36.1628246,인근좌표,47190,구주소,,경상북도 구미시 산동읍 신당리 338,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경북 구미시 산동면 신당리 산81-1,경북 구미시 산동면 신당리 산81-1,128.425472,36.1562884,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 산81-1,NULL,4719025600,산동읍,4719025625,산동읍 신당리
